project_id,project_name,project_description,job_role,min_exp_reqd,max_exp_reqd,status,created_by,company_id,created_on,modified_on
P001,AI Finance Predictor,Developing a cutting-edge AI platform for predictive analytics in finance.,AI Algorithm Engineer,3,7,open,CMP001,CMP001,3/1/2023,3/5/2023
P002,Eco-Friendly Residences,Designing sustainable housing solutions with a focus on renewable materials and energy efficiency.,Sustainable Architect,5,10,open,CMP001,CMP001,2/15/2023,2/20/2023
P003,Smart City IoT Integration,"Implementing IoT solutions for smart city infrastructure, focusing on traffic management and public safety.",Urban IoT Engineer,4,8,closed,CMP001,CMP001,1/10/2023,1/15/2023
P004,Autonomous Delivery System,Creating a fleet of autonomous drones for efficient and eco-friendly package delivery.,Drone Automation Engineer,6,12,completed,CMP001,CMP001,12/1/2022,12/10/2022
P005,Blockchain Voting Solution,Developing a secure and transparent voting system using blockchain technology.,Blockchain Security Developer,2,6,archived,CMP001,CMP001,11/20/2022,11/30/2022
P006,Data-driven Marketing Platform,Developing a data-driven marketing platform for personalized advertising campaigns.,Data Scientist,3,7,archived,CMP001,CMP001,1/5/2023,1/11/2023
P007,Virtual Reality Training Simulator,Creating a virtual reality training simulator for immersive learning experiences.,VR Developer,2,9,completed,CMP001,CMP001,2/2/2023,1/13/2023
P008,Renewable Energy Optimization System,Designing a system for optimizing renewable energy usage in residential and industrial settings.,Renewable Energy Engineer,2,7,closed,CMP001,CMP001,1/3/2023,1/12/2023
P009,Medical Diagnosis AI Assistant,Developing an AI assistant for medical professionals to aid in diagnosis and treatment recommendations.,Medical AI Developer,2,6,archived,CMP001,CMP001,1/3/2023,1/13/2023
P010,Space Exploration Innovation,Exploring innovative technologies for space exploration missions.,Space Technology Specialist,3,5,closed,CMP001,CMP001,2/2/2023,1/12/2023
P011,Augmented Reality Gaming Experience,Creating an augmented reality gaming experience for interactive entertainment.,AR Developer,3,5,open,CMP001,CMP001,1/4/2023,2/17/2023
P012,Oceanic Conservation Initiative,Initiating a conservation initiative for protecting oceanic ecosystems.,Environmental Scientist,2,9,closed,CMP001,CMP001,1/8/2023,2/12/2023
P013,Advanced Weather Prediction Model,Developing a model for advanced weather prediction using machine learning algorithms.,Machine Learning Engineer,3,6,completed,CMP001,CMP001,2/1/2023,1/15/2023
P014,Cybersecurity Threat Detection System,Implementing a system for detecting and mitigating cybersecurity threats.,Cybersecurity Analyst,2,9,closed,CMP001,CMP001,1/6/2023,1/14/2023
P015,Advanced Robotics Development,Advancing robotics technology for various applications including automation and assistance.,Robotics Engineer,3,5,completed,CMP001,CMP001,1/1/2023,2/14/2023
